immutable_pool_sui,immutable_pool_tokens,price_of_last_transaction,staked_sui_count,staked_sui_activated_count,staked_sui_pools_count,token_total_supply,pending_amount,staked_amount,staked_with_rewards_balance,all_time_promised_amount,promised_amount,promised_fulfilled,promised_amount_in_staked,extra_staked_in_promised,all_time_extra_amount,still_waiting_for_sui_amount,price_calculated,epoch,user_balance_sui,user_balance_tokens
"10000000000","10000000000","1.495628739","23","23","4","41.546268546","0.372119923","58.044980810","67.499908466","269.400761966","15.734235126","5.247062806","5.248189547","0.000000000","0.836450742","0.000000000","1.495628739659281","62","3932.781216679","31.546268546"
"10000000000","10000000000","1.502243556","24","23","4","41.387161277","0.372119923","59.051635708","67.526755010","274.639779829","15.725278598","5.247062806","5.247974391","0.042911738","0.879362480","0.000000000","1.502243556132747","63","3932.997505630","31.387161277"
"10000000000","10000000000","1.509329075","24","24","4","41.231799773","0.171160463","59.051635708","67.780274881","279.877453545","15.719081116","5.243871198","5.247974391","0.000000000","0.879362480","0.000000000","1.509329075388843","64","3933.266873860","31.231799773"
"10000000000","10000000000","1.515966873","25","24","4","41.077022391","0.171160463","60.058720776","67.811573693","285.112090927","15.711328961","5.243871198","5.242389537","0.042554927","0.921917407","0.000000000","1.5159668732133735","65","3933.482929415","31.077022391"
"10000000000","10000000000","1.523075189","25","24","4","40.925730980","0.381090114","60.039807448","67.657765741","290.345670210","15.705890381","5.239017863","5.242389537","0.000000000","0.921917407","0.000000000","1.52307518965175","66","3933.721803797","30.925730980"
"10000000000","10000000000","1.529598125","26","25","4","40.775107092","0.381090114","61.046730591","67.687047957","295.576064220","15.698610675","5.239017863","5.237673716","0.042160793","0.964078200","0.000000000","1.529598126015389","67","3933.959267418","30.775107092"
"10000000000","10000000000","1.536687628","26","26","4","40.627798761","0.188613525","61.046730591","67.937079896","300.805548600","15.693457673","5.234637382","5.237673716","0.000000000","0.964078200","0.000000000","1.5366876289623355","68","3934.220554225","30.627798761"
"10000000000","10000000000","1.543330216","27","26","4","40.480791509","0.188613525","62.056611524","67.973374296","306.032429326","15.686759116","5.234637382","5.233579283","0.041780002","1.005858202","0.000000000","1.5433302160386373","69","3934.426272625","30.480791509"
"10000000000","10000000000","1.550440783","27","26","4","40.336903315","0.398992508","62.049637558","67.823527242","311.258604005","15.682539785","5.230394010","5.233579283","0.000000000","1.005858202","0.000000000","1.550440783136255","70","3934.655876711","30.336903315"
"10000000000","10000000000","1.556315898","27","27","4","40.194656808","0.169508128","62.049637558","68.060511210","316.479984495","15.674435895","10.459878390","0.000000000","0.039339848","1.045198050","0.000000000","1.5563158989467842","71","3934.887996598","30.194656808"
"10000000000","10000000000","1.563205845","27","26","4","40.055561113","0.380267605","62.040922794","67.902711364","321.700321028","15.667891702","10.456365106","0.000000000","0.000000000","1.045198050","0.000000000","1.5632058452597315","72","3935.113357312","30.055561113"
"10000000000","10000000000","1.569086674","27","27","4","39.917915406","0.154092926","62.040922794","68.138271275","326.916299068","15.657695063","10.453055405","0.000000000","0.000000000","1.045198050","0.000000000","1.5690866745157108","73","3935.365092396","29.917915406"
"10000000000","10000000000","1.575075248","27","26","4","39.783130225","0.330261221","62.030544042","67.979773865","332.128595869","15.648611374","10.447555169","0.000000000","0.000000000","1.045198050","0.000000000","1.575075248166951","74","3935.559928666","29.783130225"
"10000000000","10000000000","1.580960877","27","27","4","39.651187447","0.109924688","62.030544042","68.213922618","337.337192236","15.636871208","10.441717023","0.000000000","0.000000000","1.045198050","0.000000000","1.5809608774463797","75","3935.808354049","29.651187447"
"10000000000","10000000000","1.586953522","27","26","4","39.521690499","0.283353996","62.023889144","68.062130761","342.542697870","15.626398802","10.436314573","0.000000000","0.000000000","1.045198050","0.000000000","1.5869535225621727","76","3935.997690083","29.521690499"
"10000000000","10000000000","1.59284335","27","27","4","39.394658017","0.071057195","62.023889144","68.294906718","347.745040707","15.616444838","10.428274841","0.000000000","0.000000000","1.045198050","0.000000000","1.5928433506878437","77","3936.240277320","29.394658017"
"10000000000","10000000000","1.598839552","27","26","4","39.269733542","0.249524767","62.016804076","68.144061102","352.944774890","15.607582654","10.420893168","0.000000000","0.000000000","1.045198050","0.000000000","1.5988395528034012","78","3936.424210904","29.269733542"
"10000000000","10000000000","1.604732666","27","27","4","39.146965581","0.044019133","62.016804076","68.375482115","358.141784643","15.599086773","10.414102001","0.000000000","0.000000000","1.045198050","0.000000000","1.6047326668274366","79","3936.658758409","29.146965581"
"10000000000","10000000000","1.610731582","27","26","4","39.026030596","0.225633840","62.009880933","68.226363915","363.336578439","15.591537732","10.407848471","0.000000000","0.000000000","1.045198050","0.000000000","1.610731582561792","80","3936.835310320","29.026030596"
"10000000000","10000000000","1.616037724","27","27","4","38.908015994","0.025899657","62.009880933","68.433441552","368.527294480","15.582519590","10.402077020","0.000000000","0.000000000","1.045198050","0.000000000","1.6160377241722175","81","3937.063066658","28.908015994"
"10000000000","10000000000","1.621438547","27","26","4","38.792527714","0.214354652","62.000000000","68.258112114","373.714551622","15.572766979","10.396743936","0.000000000","0.000000000","1.045198050","0.000000000","1.6214385474112805","82","3937.233365039","28.792527714"
"10000000000","10000000000","1.626745786","27","27","4","38.679533834","0.019560856","62.000000000","68.463993308","378.898363933","15.561785494","10.391803549","0.000000000","0.000000000","1.045198050","0.000000000","1.6267457860283374","83","3937.455349926","28.679533834"
"10000000000","10000000000","1.632147089","27","26","4","38.568684898","0.198261440","62.000000000","68.303496582","384.079285697","15.551991217","10.385509837","0.000000000","0.000000000","1.045198050","0.000000000","1.6321470895748456","84","3937.620315223","28.568684898"
"10000000000","10000000000","1.637455569","27","27","4","38.459982577","0.011004298","62.000000000","68.508237671","389.257280914","15.542729292","10.377973183","0.000000000","0.000000000","1.045198050","0.000000000","1.6374555695888817","85","3937.837359723","28.459982577"
"10000000000","10000000000","1.642857575","27","26","4","38.353114029","0.183541048","62.000000000","68.359649665","394.432850708","15.534486775","10.371069453","0.000000000","0.000000000","1.045198050","0.000000000","1.6428575757983337","86","3937.996031308","28.353114029"
"10000000000","10000000000","1.648167382","27","27","4","38.248107841","0.002619284","62.000000000","68.563297272","399.605918478","15.526632781","10.364734075","0.000000000","0.000000000","1.045198050","0.000000000","1.6481673822155756","87","3938.205539154","28.248107841"
"10000000000","10000000000","1.653570239","27","26","4","38.144681300","0.168310797","62.000000000","68.426259611","404.776941520","15.519660606","10.358916981","0.000000000","0.000000000","1.045198050","0.000000000","1.6535702397387706","88","3938.357307009","28.144681300"
"10000000000","10000000000","1.658881569","27","26","4","38.042884212","0.693916965","62.000000000","67.927682605","409.945810825","15.512960117","10.353565011","0.000000000","0.000000000","1.045198050","0.000000000","1.6588815690555192","89","3938.533195477","28.042884212"
"10000000000","10000000000","1.663994089","27","27","4","37.942932320","0.520849195","62.000000000","68.122177636","415.112130180","15.506211702","10.348637564","0.000000000","0.000000000","1.045198050","0.000000000","1.6639940897693908","90","3938.733441398","27.942932320"
"10000000000","10000000000","1.668819711","27","27","4","37.845155652","0.349826153","62.000000000","68.305275867","420.275301802","15.498360282","10.344090812","0.000000000","0.000000000","1.045198050","0.000000000","1.6688197115305659","91","3938.904250736","27.845155652"
"10000000000","10000000000","1.673657535","27","27","4","37.749362183","0.180956848","62.000000000","68.488364083","425.435627257","15.489816432","10.339892347","0.000000000","0.000000000","1.045198050","0.000000000","1.6736575360590378","92","3939.072558050","27.749362183"
"10000000000","10000000000","1.678507372","27","27","4","37.655379337","0.014637493","62.000000000","68.671442310","430.593378155","15.481247975","10.335188660","0.000000000","0.000000000","1.045198050","0.000000000","1.6785073724086808","93","3939.238820636","27.655379337"
"10000000000","10000000000","1.683369048","27","26","4","37.563052013","0.580199763","62.000000000","68.125776685","435.748799112","15.473497310","10.329490977","0.000000000","0.000000000","1.045198050","0.000000000","1.6833690488226623","94","3939.375645485","27.563052013"
"10000000000","10000000000","1.687978499","27","27","4","37.472657544","0.419874308","62.000000000","68.298921720","440.901383026","15.465755769","10.323497077","0.000000000","0.000000000","1.045198050","0.000000000","1.6879784996494829","95","3939.564215544","27.472657544"
"10000000000","10000000000","1.692811088","27","27","4","37.383691955","0.262123410","62.000000000","68.480011678","446.051984955","15.458606800","10.318076353","0.000000000","0.000000000","1.045198050","0.000000000","1.692811088968326","96","3939.722626710","27.383691955"
"10000000000","10000000000","1.697654917","27","27","4","37.296038139","0.106702453","62.000000000","68.661091863","451.200790883","15.451991771","10.313171855","0.000000000","0.000000000","1.045198050","0.000000000","1.6976549173675222","97","3939.878191709","27.296038139"
"10000000000","10000000000","1.702509868","27","26","4","37.209590807","0.452332196","62.000000000","68.343948646","456.347968310","15.446585284","10.308004871","0.000000000","0.000000000","1.045198050","0.000000000","1.702509868667581","98","3940.003898151","27.209590807"
"10000000000","10000000000","1.707199256","27","27","4","37.124527904","0.301730267","62.000000000","68.518438858","461.493187626","15.441202671","10.303185843","0.000000000","0.000000000","1.045198050","0.000000000","1.7071992569950285","99","3940.181569812","27.124527904"
